Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
1.21,14.98,0.814,14.78,1,0,0,1,0,2,1,1.91,-0.23,0.54,1,0,0.000465,0.00065,-3.74,-5.74,-3.97,-5.2,10.1016/j.nanoen.2019.104241
1.11,14.9,0.743,12.3,1,0,0,1,0,2,1,1.91,-0.47,0.54,1,0,0.000465,0.000992,-3.74,-5.74,-4.21,-5.2,10.1016/j.nanoen.2019.104241
1.083,20.92,0.7524,17.04,0,1,0,1,0,3,0,1.5,-0.27,0.2,1,0,0.000465,2.93E-05,-3.93,-5.4,-4.2,-5.2,10.1039/C8TA12206G
1.171,11.65,0.64,8.73,1,0,0,1,0,1,2,2.1,-0.33,0.53,1,0,0.000465,2.93E-05,-3.43,-5.53,-3.76,-5,10.1016/j.solener.2020.04.024
1.07,21.64,0.7396,17.21,0.05,0.1615,0.7885,1,0,2.49,0.51,1.61,-0.29,0.2,1,0,0.000465,0.000992,-3.79,-5.4,-4.08,-5.2,10.1016/j.jpowsour.2020.228443
0.55,19.4,0.67,7.2,0,0.25,0.75,0,1,3,0,1.36,-0.66,0.05,0,1,0.00033,8.00E-05,-3.84,-5.2,-4.5,-5.15,10.1002/anie.201808385 
1.12,21.68,0.7585,18.42,0.04,0.144,0.816,1,0,2.55,0.45,1.6,-0.4,0.2,1,0,0.000465,2.93E-05,-3.8,-5.4,-4.2,-5.2,10.1021/acssuschemeng.8b04281
1.06,20.2,0.813,17.3,0,1,0,1,0,3,0,1.5,-0.27,0.23,0,1,0.000351,0.0004,-3.93,-5.43,-4.2,-5.2,10.1002/adma.201500523
1.11,23.42,0.786,20.43,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.39,1,0,0.0012,2.93E-05,-4.05,-5.65,-4.2,-5.26,10.1038/ncomms16045
1.12,22.25,0.76,19.01,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.43,1,0,0.000465,2.93E-05,-4.05,-5.65,-4.2,-5.22,10.1039/C7TA01718A
1.13,21.7,0.78,19.03,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.41,1,0,0.00026,2.93E-05,-4.05,-5.65,-4.2,-5.24,10.1039/C7TA01718A
1.11,19.31,0.69,14.87,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.31,1,0,1.10E-05,2.93E-05,-4.05,-5.65,-4.2,-5.34,10.1039/C7TA01718A
1.07,19.6,0.763,16,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.2,10.1002/advs.201801170
